time,joint1_angle,joint2_angle,joint1_ref,joint2_ref,joint1_error,joint2_error,joint1_torque,joint2_torque,ee_x,ee_y,ee_distance
0.0,1.5649888815383328e-09,1.2226867778853374e-11,0.0,0.0,-1.5649888815383328e-09,-1.2226867778853374e-11,0.0,0.0,0.8,1.2556591655643221e-09,0.8
0.001,3.938100565114057e-09,2.9109956208723716e-11,0.0,0.0,-3.938100565114057e-09,-2.9109956208723716e-11,-7.903209501657396e-06,-6.174580455188733e-08,0.8,3.159213438953863e-09,0.8
0.002,6.656604562678793e-09,4.570062586774236e-11,0.0,0.0,-6.656604562678793e-09,-4.570062586774236e-11,-1.2062518477028792e-05,-8.587135332802776e-08,0.8,5.338993837903357e-09,0.8
0.003,9.524559476846068e-09,6.042144962559447e-11,0.0,0.0,-9.524559476846068e-09,-6.042144962559447e-11,-1.392547181289771e-05,-8.523924996297888e-08,0.8,7.637774016364532e-09,0.8000000000000002
0.004,1.2446139060897238e-08,7.283177739965465e-11,0.0,0.0,-1.2446139060897238e-08,-7.283177739965465e-11,-1.4816219387213537e-05,-7.662666585953512e-08,0.7999999999999998,9.978760781937687e-09,0.7999999999999998
0.005,1.5375359445758975e-08,8.298490830931504e-11,0.0,0.0,-1.5375359445758975e-08,-8.298490830931504e-11,-1.5230546177226183e-05,-6.56954306470524e-08,0.7999999999999998,1.2325183029099974e-08,0.7999999999999998
0.006,1.8291961075731687e-08,9.113612700568205e-11,0.0,0.0,-1.8291961075731687e-08,-9.113612700568205e-11,-1.5415364954116567e-05,-5.4917932719619605e-08,0.7999999999999998,1.4660909698687053e-08,0.7999999999999999
0.007,2.1188668608595673e-08,9.759993095930049e-11,0.0,0.0,-2.1188668608595673e-08,-9.759993095930049e-11,-1.549828418078083e-05,-4.531684394924111e-08,0.7999999999999998,1.6980214866164327e-08,0.8
0.008,2.4064459781658577e-08,1.026835053996061e-10,0.0,0.0,-2.4064459781658577e-08,-1.026835053996061e-10,-1.554386095856648e-05,-3.720393643248877e-08,0.7999999999999997,1.9282372876946743e-08,0.7999999999999999
0.009000000000000001,2.692106822933412e-08,1.0665928279468682e-10,0.0,0.0,-2.692106822933412e-08,-1.0665928279468682e-10,-1.558330936281204e-05,-3.0557994422993893e-08,0.7999999999999997,2.15688523683057e-08,0.8
0.010000000000000002,2.9761217129254035e-08,1.0975689249589725e-10,0.0,0.0,-2.9761217129254035e-08,-1.0975689249589725e-10,-1.5630495368941296e-05,-2.5218864659451458e-08,0.7999999999999996,2.3841900771151994e-08,0.7999999999999999
0.011000000000000003,3.2587768509627444e-08,1.1216415884889492e-10,0.0,0.0,-3.2587768509627444e-08,-1.1216415884889492e-10,-1.5690502687330456e-05,-2.0984004244085467e-08,0.7999999999999996,2.6103864055356617e-08,0.8
0.012000000000000004,3.540334834685483e-08,1.1403183194551415e-10,0.0,0.0,-3.540334834685483e-08,-1.1403183194551415e-10,-1.5764168536301682e-05,-1.7653772462260013e-08,0.7999999999999994,2.8356888227067515e-08,0.7999999999999998
0.013000000000000005,3.821021197363589e-08,1.1547941311598145e-10,0.0,0.0,-3.821021197363589e-08,-1.1547941311598145e-10,-1.585044384591642e-05,-1.5050330153518245e-08,0.7999999999999994,3.0602813402843506e-08,0.7999999999999999
0.014000000000000005,4.10102252194564e-08,1.1660084419419754e-10,0.0,0.0,-4.10102252194564e-08,-1.1660084419419754e-10,-1.5947588077143573e-05,-1.3023404375413152e-08,0.7999999999999993,3.284316042882337e-08,0.7999999999999999
0.015000000000000006,4.380489655149984e-08,1.1746955280577551e-10,0.0,0.0,-4.380489655149984e-08,-1.1746955280577551e-10,-1.605374693688403e-05,-1.144989147650982e-08,0.7999999999999992,3.507915810704159e-08,0.7999999999999999
0.016000000000000007,4.659542752196223e-08,1.1814270480827496e-10,0.0,0.0,-4.659542752196223e-08,-1.1814270480827496e-10,-1.6167208983566363e-05,-1.0230889269426194e-08,0.7999999999999992,3.731178482901225e-08,0.8
0.017000000000000008,4.93827657769706e-08,1.1866468247636102e-10,0.0,0.0,-4.93827657769706e-08,-1.1866468247636102e-10,-1.6286499678459484e-05,-9.287945251206628e-09,0.7999999999999989,3.954181202631937e-08,0.7999999999999999
0.01800000000000001,5.216765368918353e-08,1.1906987609373847e-10,0.0,0.0,-5.216765368918353e-08,-1.1906987609373847e-10,-1.6410396841597537e-05,-8.559359109368733e-09,0.7999999999999989,4.176984391417493e-08,0.8
0.01900000000000001,5.495067012414444e-08,1.1938489685820908e-10,0.0,0.0,-5.495067012414444e-08,-1.1938489685820908e-10,-1.6537911199767916e-05,-7.996889235455535e-09,0.7999999999999987,4.399635156837299e-08,0.7999999999999998
0.02000000000000001,5.773226499245711e-08,1.196303164686701e-10,0.0,0.0,-5.773226499245711e-08,-1.196303164686701e-10,-1.666825414195706e-05,-7.562969858113385e-09,0.7999999999999987,4.622170108890626e-08,0.8
0.02100000000000001,6.05127871836645e-08,1.1982202682974862e-10,0.0,0.0,-6.05127871836645e-08,-1.1982202682974862e-10,-1.680080337478145e-05,-7.22843137175322e-09,0.7999999999999985,4.8446176354980496e-08,0.7999999999999999
0.022000000000000013,6.329250681637686e-08,1.1997229862383115e-10,0.0,0.0,-6.329250681637686e-08,-1.1997229862383115e-10,-1.6935071226687234e-05,-6.970668863162945e-09,0.7999999999999984,5.06699971426886e-08,0.8
0.023000000000000013,6.607163278645311e-08,1.2009060316047282e-10,0.0,0.0,-6.607163278645311e-08,-1.2009060316047282e-10,-1.7070677340915867e-05,-6.7721893408733666e-09,0.7999999999999983,5.289333341011059e-08,0.8
0.024000000000000014,6.885032651390389e-08,1.2018424919798646e-10,0.0,0.0,-6.885032651390389e-08,-1.2018424919798646e-10,-1.720732604256702e-05,-6.619469186532723e-09,0.799999999999998,5.511631648588247e-08,0.7999999999999999
0.025000000000000015,7.162871266198629e-08,1.2025887571534092e-10,0.0,0.0,-7.162871266198629e-08,-1.2025887571534092e-10,-1.7344788019077334e-05,-6.502060835260268e-09,0.7999999999999979,5.733904779230358e-08,0.8
0.026000000000000016,7.440688746834307e-08,1.2031883284754466e-10,0.0,0.0,-7.440688746834307e-08,-1.2031883284754466e-10,-1.748288571676617e-05,-6.411897149089197e-09,0.7999999999999978,5.9561605624528666e-08,0.8
