time,joint1_angle,joint2_angle,joint1_ref,joint2_ref,joint1_error,joint2_error,joint1_torque,joint2_torque,ee_x,ee_y,ee_distance
0.0,1.5649888815383328e-09,1.2226867778853374e-11,0.0,0.0,-1.5649888815383328e-09,-1.2226867778853374e-11,0.0,0.0,0.8,1.2556591655643221e-09,0.8
0.001,3.836468729802155e-09,2.8668090428586295e-11,0.0,0.0,-3.836468729802155e-09,-2.8668090428586295e-11,-7.903209501657396e-06,-6.174580455188733e-08,0.8,3.0777754109703e-09,0.8
0.002,6.28053095294454e-09,4.395141279666271e-11,0.0,0.0,-6.28053095294454e-09,-4.395141279666271e-11,-1.1549276692385333e-05,-8.3639926719676e-08,0.8,5.03761018619463e-09,0.8
0.003,8.665368530551426e-09,5.635208357010054e-11,0.0,0.0,-8.665368530551426e-09,-5.635208357010054e-11,-1.2534454483244793e-05,-7.861503094392525e-08,0.8,6.949200449512171e-09,0.8
0.004,1.08829458965152e-08,6.545907522753119e-11,0.0,0.0,-1.08829458965152e-08,-6.545907522753119e-11,-1.2357659788132953e-05,-6.482237003023993e-08,0.7999999999999998,8.725994439780419e-09,0.7999999999999998
0.005,1.2890325050525051e-08,7.145884555380175e-11,0.0,0.0,-1.2890325050525051e-08,-7.145884555380175e-11,-1.1632346427674544e-05,-4.880997862382782e-08,0.7999999999999998,1.0333697694086181e-08,0.7999999999999998
0.006,1.4679258491483922e-08,7.478745136666363e-11,0.0,0.0,-1.4679258491483922e-08,-7.478745136666363e-11,-1.0681853228855927e-05,-3.3574575072796455e-08,0.7999999999999998,1.1765843028597136e-08,0.7999999999999998
0.007,1.6259067216155918e-08,7.595018519868748e-11,0.0,0.0,-1.6259067216155918e-08,-7.595018519868748e-11,-9.679218128233885e-06,-2.0385930670909782e-08,0.7999999999999998,1.303003882848434e-08,0.7999999999999999
0.008,1.7647065936720002e-08,7.54328216581951e-11,0.0,0.0,-1.7647065936720002e-08,-7.54328216581951e-11,-8.712747573705269e-06,-9.615466960172842e-09,0.7999999999999998,1.414028259587346e-08,0.7999999999999999
0.009000000000000001,1.8863341061714673e-08,7.366300201927177e-11,0.0,0.0,-1.8863341061714673e-08,-7.366300201927177e-11,-7.823273959853282e-06,-1.189866248783615e-09,0.7999999999999998,1.511277174997752e-08,0.7999999999999999
